,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
84,25 a 34,1,['At the office'],,Pourover,['No - just black'],,Chocolatey,Medium,Light,Full caffeine,2.0,1.0,4.0,5.0,,3.0,2.0,4.0,,4.0,2.0,2.0,,2.0,4.0,3.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom', ' It tastes good']",No,Yes,6 a 8,More than 20,Yes,Male,White/Caucasian
85,25 a 34,3,"['At home', ' At the office']","['Pour over', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Whole milk'],Chocolatey,Medium,Light,Full caffeine,8.0,1.0,1.0,5.0,,2.0,1.0,3.0,,3.0,3.0,2.0,,2.0,2.0,1.0,,Coffee A,Coffee A,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,15 a 20,10 a 15,No,Male,Hispanic/Latino
86,25 a 34,1,"['At home', ' On the go', ' At the office', ' At a cafe']",['Espresso'],Espresso,['No - just black'],,Fruity,Very strong,Medium,Full caffeine,6.0,3.0,3.0,4.0,"Tiny bit of fruit, blackberries",3.0,1.0,3.0,,4.0,2.0,3.0,"Bit muddy, almost tobacco?",1.0,4.0,5.0,Fruity - strawberries,Coffee A,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
87,45 a 54,2,"['At home', ' At the office', ' On the go']",['Pod/capsule machine (e.g. Keurig/Nespresso)'],Regular drip coffee,['No - just black'],,Full Bodied,Somewhat strong,Italian,Full caffeine,6.0,2.0,4.0,1.0,,4.0,3.0,4.0,,4.0,4.0,5.0,,1.0,4.0,,,Coffee C,Coffee A,Coffee C,,,,,,,,,
88,35 a 44,1,"['At home', ' On the go']",['Pour over'],Pourover,['No - just black'],,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,4.0,4.0,5.0,Caramel,4.0,2.0,4.0,,2.0,2.0,3.0,Mild,4.0,5.0,1.0,Sour,Coffee A,Coffee A,Coffee A,40 a 60,"['I need the ritual', ' I need the caffeine', ' It makes me go to the bathroom', ' It tastes good']",Yes,Yes,6 a 8,6 a 8,No,Female,Asian/Pacific Islander
89,25 a 34,2,"['At home', ' At a cafe']","['Pour over', ' Other']",Iced coffee,['No - just black'],,Bright,Medium,Light,Decaf,7.0,2.0,3.0,4.0,Pretty good.,3.0,2.0,2.0,A bit boring.,3.0,2.0,2.0,A bit boring.,1.0,4.0,5.0,"Delicious, acidic and interesting.",Coffee A,Coffee D,Coffee D,80 a 100,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
90,25 a 34,3,['At home'],"['Pour over', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Medium,Medium,Full caffeine,3.0,2.0,3.0,4.0,,1.0,2.0,5.0,"Wood, sweetness",4.0,2.0,2.0,Chocolate,3.0,3.0,1.0,"Fruity, berry",Coffee A,Coffee A,Coffee C,More then 100,"['It tastes good', ' I need the caffeine']",Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
91,25 a 34,3,"['At home', ' At the office', ' On the go', ' At a cafe']","['Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)']",Americano,['No - just black'],,Full Bodied,Somewhat strong,Light,Full caffeine,7.0,1.0,4.0,2.0,,2.0,3.0,3.0,,3.0,2.0,5.0,,1.0,3.0,3.0,,Coffee C,Coffee D,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,8 a 10,10 a 15,No,Male,Asian/Pacific Islander
92,45 a 54,1,"['At the office', ' At home']","['Espresso', ' Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)']",Cappuccino,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Coffee creamer'],Nutty,Somewhat strong,Medium,Decaf,5.0,3.0,3.0,4.0,,2.0,4.0,2.0,,2.0,5.0,1.0,,1.0,4.0,2.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,4 a 6,4 a 6,No,Male,White/Caucasian
93,25 a 34,2,['At home'],['Pour over'],Pourover,['No - just black'],,Juicy,Somewhat strong,Light,Full caffeine,6.0,2.0,2.0,3.0,,4.0,1.0,2.0,,1.0,3.0,3.0,,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,10 a 15,No,Male,White/Caucasian
94,35 a 44,3,['At home'],"['Pour over', ' Espresso']",Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,8.0,4.0,2.0,2.0,,4.0,2.0,2.0,,3.0,3.0,4.0,,1.0,4.0,5.0,,Coffee C,Coffee D,Coffee D,More then 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Male,White/Caucasian
95,25 a 34,2,['At home'],"['Espresso', ' Pour over']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Oat milk']",Nutty,Somewhat strong,Medium,Full caffeine,7.0,3.0,4.0,3.0,"Fruity, apple",4.0,2.0,2.0,,3.0,2.0,4.0,Earthy,3.0,5.0,5.0,Fruity blueberries,Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,15 a 20,Yes,Male,White/Caucasian
96,25 a 34,3,"['At the office', ' At home']",['Other'],Espresso,['No - just black'],,Floral,Medium,Light,Full caffeine,7.0,4.0,4.0,2.0,,2.0,4.0,2.0,,3.0,4.0,3.0,,2.0,4.0,4.0,,Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,No,8 a 10,More than 20,No,Male,Hispanic/Latino
97,18 a 24,2,['At home'],"['French press', ' Cold brew']",Cold brew,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Chocolatey,Somewhat strong,Medium,Full caffeine,2.0,2.0,4.0,1.0,,2.0,2.0,4.0,,4.0,2.0,5.0,,2.0,4.0,2.0,,Coffee C,Coffee D,Coffee C,20 a 40,"['I need the ritual', ' It tastes good']",Yes,Yes,8 a 10,,Yes,Male,Asian/Pacific Islander
98,25 a 34,1,['At home'],['Pour over'],Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,5.0,2.0,5.0,4.0,,5.0,2.0,2.0,,4.0,3.0,3.0,,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['I need the ritual', ' It tastes good']",Yes,Yes,4 a 6,6 a 8,,Male,
99,25 a 34,More than 4,"['At home', ' At the office', ' At a cafe']","['Pour over', ' French press', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)']",Espresso,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,5.0,3.0,3.0,4.0,"Textured Mouth Feel - My preference in texture of the 4

Balanced flavors of bitterness with red berry notes",4.0,3.0,3.0,"Textured Palette

Deep, pleasant bitterness, toasted malt",2.0,2.0,4.0,"Good body, slightly less texture than A & B

Notes of wood and Cocoa Nibs",1.0,5.0,2.0,"Little to none mouth feel

Earl Grey-esque, Lemon, Pear",Coffee A,Coffee A,Coffee A,40 a 60,['It tastes good'],Yes,No,8 a 10,8 a 10,Yes,Male,White/Caucasian
100,35 a 44,3,"['At home', ' At a cafe']",['French press'],Americano,['No - just black'],,Nutty,Very strong,Medium,Full caffeine,7.0,3.0,4.0,3.0,,4.0,2.0,4.0,,2.0,2.0,5.0,,1.0,5.0,2.0,,Coffee C,Coffee A,Coffee C,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
101,25 a 34,2,['At home'],"['Pour over', ' Espresso', ' Cold brew']",Pourover,['No - just black'],,Fruity,Somewhat light,Light,Full caffeine,7.0,2.0,2.0,4.0,,3.0,3.0,3.0,,5.0,1.0,1.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the ritual']",Yes,Yes,More than 20,More than 20,No,Male,White/Caucasian
102,25 a 34,1,['At the office'],,Mocha,['Sugar or sweetener'],,Floral,Somewhat strong,Light,Full caffeine,4.0,2.0,5.0,4.0,"2nd best
unbalanced",4.0,3.0,3.0,"3rd best
Bitter but seems like it would improve with added sugar",5.0,2.0,2.0,"4th 
far too bitter but somehow tastes the most like water",3.0,4.0,5.0,"Best
Fruity and Floral",Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,10 a 15,Yes,Male,White/Caucasian
103,25 a 34,1,"['At the office', ' At home']","['Cold brew', ' Coffee extract (e.g. Cometeer)', ' Pod/capsule machine (e.g. Keurig/Nespresso)', ' Other']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']","['Skim milk', ' Soy milk']",Chocolatey,Medium,Light,Full caffeine,3.0,1.0,4.0,2.0,"fermented, juicy fruit type",4.0,1.0,5.0,"chocolate, smooth, richer, fuller",3.0,3.0,4.0,more balanced slight fruit and chocolate flavor. sort of acid but not in a bad way,1.0,5.0,1.0,"fruity, harsh and jangly",Coffee B,Coffee A,Coffee B,60 a 80,"['It tastes good', ' I need the caffeine']",Yes,No,6 a 8,10 a 15,Yes,Female,Asian/Pacific Islander
104,18 a 24,2,"['At home', ' At the office', ' At a cafe']","['French press', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Flavor syrup']",['Whole milk'],Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,3.0,"A is a too acidic for me, good mouth feel and not very bitter.",3.0,1.0,5.0,"Very well rounded, full tasting. Has a good texture with nothing being too overwhelming",3.0,2.0,4.0,"Another well rounded one, less full than b feels a bit lighter in the mouth. Still a very good one",3.0,4.0,1.0,"Something strange, super fruity/berry notes. Too acidic and fruity for me.",Coffee B,Coffee A,Coffee B,60 a 80,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,No,Male,White/Caucasian
105,25 a 34,1,['At home'],"['French press', ' Cold brew']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Almond milk', ' Skim milk', ' Whole milk']",Sweet,Medium,Medium,Full caffeine,6.0,2.0,3.0,4.0,"Fruity, sharp, caramel",2.0,2.0,3.0,"Smooth, slightly fruity (apple or white grape)",4.0,2.0,2.0,"Bland, very slightly fruity (berry), grainy",1.0,4.0,4.0,"Sweet, yogurty, smooth, fruity, reminds me of kefir",Coffee A,Coffee A,Coffee A,Less then 20,"['I need the caffeine', ' It tastes good']",Yes,No,6 a 8,8 a 10,Yes,Female,White/Caucasian
106,35 a 44,1,"['At home', ' On the go', ' At a cafe']",['Instant coffee'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Nutty,Somewhat strong,Dark,Half caff,7.0,2.0,3.0,3.0,Tastes a bit vegetal to me,3.0,2.0,3.0,reminiscent of diner coffee,3.0,1.0,4.0,Very mellow/smooth- more character than coffee B,2.0,4.0,1.0,"Reminds me of taste of sour cherries/raspberries, almost herbal/medicinal",Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,No,8 a 10,6 a 8,Yes,Female,Other (please specify)
107,35 a 44,2,['At home'],['Espresso'],Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,Pleasant and mild acidity,3.0,1.0,4.0,"Fuller texture, chocolatey, better when cooled off for a bit",2.0,3.0,4.0,"Balanced, unobtrusive, less character though",2.0,5.0,2.0,Fermented!,Coffee A,Coffee A,Coffee A,40 a 60,['It tastes good'],Yes,Yes,10 a 15,15 a 20,No,Male,Asian/Pacific Islander
108,25 a 34,1,"['At a cafe', ' At home']","['Pour over', ' Espresso']",Iced coffee,['No - just black'],,Fruity,Medium,Light,Full caffeine,8.0,1.0,4.0,5.0,"Love this coffee. Natural process maybe? Fruity, juicy, citrussy, light to medium body",5.0,1.0,1.0,I hate it. It's like a French roast. Very heavy body,4.0,2.0,2.0,"I don't enjoy it. It's a traditional dark coffee, medium to heavy body",2.0,4.0,4.0,"A nice, modern cup of fruity coffee. Very light body",Coffee A,Coffee A,Coffee A,60 a 80,['It tastes good'],Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
109,25 a 34,1,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Regular drip coffee,['No - just black'],,Bold,Somewhat strong,Dark,Full caffeine,4.0,3.0,4.0,3.0,,3.0,2.0,5.0,,3.0,1.0,4.0,,3.0,5.0,1.0,,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,No,6 a 8,8 a 10,No,Male,White/Caucasian
110,25 a 34,2,"['At home', ' At a cafe']","['Pour over', ' Espresso', ' French press']",Espresso,['No - just black'],,Floral,Medium,Nordic,Full caffeine,8.0,1.0,4.0,4.0,"Apple, stewed cherry",2.0,3.0,3.0,"Caramel, chocolate, berries",4.0,1.0,2.0,"Bitter, earthy",1.0,3.0,3.0,"Stone fruit, kiwi",Coffee A,Coffee A,Coffee A,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,15 a 20,15 a 20,Yes,Male,White/Caucasian
111,25 a 34,1,"['At the office', ' At home']",['Espresso'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']",['Whole milk'],Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,4.0,Somewhat fruity.,5.0,1.0,4.0,Very coffee.,2.0,3.0,3.0,Doesn't really make a statement about anything.,1.0,5.0,4.0,"Very fruity, raspberry. Probably a natural or maybe even a more involved processing method.",Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,6 a 8,No,Male,Other (please specify)
112,35 a 44,1,['At home'],['Cold brew'],Cold brew,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Whole milk', ' Flavored coffee creamer']",Caramalized,Somewhat strong,Medium,Full caffeine,5.0,2.0,4.0,1.0,,3.0,3.0,3.0,,3.0,2.0,3.0,,2.0,4.0,2.0,,Coffee C,Coffee A,Coffee C,60 a 80,['I need the caffeine'],No,No,8 a 10,8 a 10,Yes,Female,White/Caucasian
113,25 a 34,3,['At home'],"['Pour over', ' French press', ' Espresso']",Cortado,"['Sugar or sweetener', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Medium,Medium,Full caffeine,5.0,3.0,3.0,2.0,High tannins,3.0,2.0,4.0,"Rounder flavor, more balanced",4.0,1.0,3.0,A bit more present but less pleasant,1.0,5.0,1.0,Unpleasantly sharp,Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,10 a 15,No,Male,White/Caucasian
114,25 a 34,2,['At home'],['Espresso'],Espresso,['No - just black'],,Fruity,Very strong,Light,Full caffeine,7.0,1.0,4.0,5.0,"Fruity, raspberry, citrus, stone fruit, caramel, nutty",1.0,5.0,5.0,"Berries, blueberry, blackberry, strawberry, grape",4.0,1.0,2.0,"Roast, earthy, ashy, coffee, some sweet, fruit, leather, some red fruit, dark chocolate",5.0,2.0,3.0,"Leather, caramel, tropical, chocolate, ashy",Coffee B,Coffee A,Coffee B,More then 100,"['It tastes good', ' I need the ritual']",Yes,Yes,10 a 15,More than 20,Yes,Male,White/Caucasian
115,25 a 34,4,"['At home', ' At the office']",['Bean-to-cup machine'],Americano,['No - just black'],,Sweet,Very strong,Light,Full caffeine,6.0,3.0,5.0,5.0,"Coconut, very sweet, treacle/caramel",4.0,1.0,2.0,"Nutty, soupy, chicory",3.0,2.0,1.0,"Lightest, no real sense",2.0,3.0,4.0,"Syrupy, cinnamon, apple cider",Coffee A,Coffee A,Coffee A,80 a 100,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,15 a 20,15 a 20,Yes,Male,White/Caucasian
116,25 a 34,Less than 1,"['At home', ' On the go']",['Pour over'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Flavored coffee creamer', ' Oat milk']",Caramalized,Weak,Medium,Decaf,1.0,4.0,4.0,2.0,Fruity,2.0,1.0,5.0,Dunkin donuts,5.0,2.0,1.0,,3.0,5.0,4.0,Fruity,Coffee B,Coffee D,Coffee B,Less then 20,['It tastes good'],No,No,6 a 8,6 a 8,No,Female,White/Caucasian
117,35 a 44,1,['At home'],"['Pour over', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Cortado,['No - just black'],,Fruity,Somewhat strong,Light,Half caff,6.0,4.0,4.0,4.0,Caramel,4.0,3.0,3.0,,2.0,2.0,2.0,Chocolate,5.0,4.0,5.0,Fruity,Coffee A,Coffee D,Coffee D,20 a 40,"['I need the caffeine', ' I need the ritual', ' It tastes good']",Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
118,25 a 34,2,"['At the office', ' At home']","['Pour over', ' Espresso']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Medium,Light,Full caffeine,8.0,3.0,4.0,4.0,"Warm and deep chocolate, ripe stone fruits, full texture mouthfeel",4.0,3.0,3.0,"Rabbi and full bodied, reminds me of sweet apple with bitter skin",4.0,1.0,2.0,"Earthy, vegetal, wheat",2.0,5.0,5.0,"Bright sweet and sour pear, orange and grapefruit.",Coffee A,Coffee D,Coffee D,20 a 40,['I need the ritual'],Yes,Yes,6 a 8,8 a 10,No,Male,White/Caucasian
119,18 a 24,1,['At home'],"['Pour over', ' Coffee extract (e.g. Cometeer)']",Pourover,['No - just black'],,Fruity,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,3.0,Nutty.,3.0,2.0,5.0,Almond,4.0,1.0,4.0,Chocolate?? Floral,2.0,4.0,5.0,Blueberry. Powerful,Coffee B,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,15 a 20,More than 20,Yes,Male,White/Caucasian
120,55 a 64,4,"['At home', ' At the office', ' On the go', ' At a cafe']","['Espresso', ' French press', ' Pour over']",Americano,['No - just black'],,Bright,Medium,French,Full caffeine,7.0,4.0,2.0,1.0,2am cq duty in the army. Old folders. Slow death.,3.0,3.0,3.0,"Black tea, walnut",3.0,2.0,4.0,"Root veggies, oats, granola",1.0,3.0,5.0,"Fruity, cherry",Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,10 a 15,Yes,Male,White/Caucasian
121,25 a 34,2,"['At home', ' At the office', ' At a cafe', ' On the go']","['Espresso', ' Pour over', ' French press']",Americano,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,1.0,5.0,2.0,Earthy,3.0,2.0,3.0,Earthy,3.0,2.0,4.0,Earthy,4.0,4.0,1.0,Very fruity,Coffee C,Coffee A,Coffee C,20 a 40,"['I need the ritual', ' It tastes good']",Yes,Yes,4 a 6,8 a 10,Yes,Male,Other (please specify)
122,35 a 44,1,"['At home', ' At a cafe']","['Pour over', ' Espresso', ' French press', ' Cold brew', ' Other']",Pourover,['No - just black'],,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,Honey; slight fruitiness,3.0,2.0,2.0,Chocolaty,3.0,2.0,2.0,Nutty; lemon grass,1.0,4.0,5.0,Very fruity; strawberry,Coffee A,Coffee D,Coffee D,40 a 60,['It tastes good'],Yes,Yes,More than 20,More than 20,,Male,Asian/Pacific Islander
123,25 a 34,Less than 1,"['At the office', ' At home']","['Espresso', ' Cold brew']",Cold brew,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']","['Whole milk', ' Half and half']",Sweet,Somewhat strong,Medium,Full caffeine,3.0,1.0,4.0,3.0,A bit fruity.,3.0,2.0,4.0,Tastes more like what I think of as coffee. No particular fruity or earthy flavors.,2.0,2.0,3.0,A little earthy.,1.0,4.0,1.0,Very strong fermented fruit kind of flavor.,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,No,10 a 15,10 a 15,,Male,White/Caucasian
124,25 a 34,2,"['At home', ' At a cafe']",['Coffee brewing machine (e.g. Mr. Coffee)'],Regular drip coffee,['No - just black'],,Caramalized,Medium,Medium,Full caffeine,4.0,1.0,1.0,3.0,"Fairly mild it seemed compared to the rest. Liked it, would drink it again or a lot, but nothing crazy significant pulling me back.",2.0,2.0,5.0,This was a good balance of flavor without being too bitter,5.0,3.0,4.0,"Good flavor, more bitter than I’d normally go for. A but more complex flavor here. Would drink again but not every day.",3.0,5.0,3.0,"Complex, fruity, maybe too much though. Again- not an everyday but I didn’t hate it.",Coffee B,Coffee A,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,6 a 8,6 a 8,Yes,Male,White/Caucasian
125,25 a 34,2,"['At home', ' At a cafe']","['Pour over', ' Other']",Cortado,['No - just black'],,Fruity,Somewhat strong,Medium,Full caffeine,6.0,1.0,4.0,5.0,,3.0,1.0,3.0,Papery,4.0,3.0,1.0,,3.0,3.0,4.0,,Coffee A,Coffee A,Coffee A,60 a 80,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,More than 20,Yes,Male,White/Caucasian
126,35 a 44,2,['At home'],"['Bean-to-cup machine', ' Pour over']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Fruity,Medium,Blonde,Half caff,8.0,1.0,2.0,5.0,"Cereal Grains, light roasted peanuts, hint of dried apricots",3.0,2.0,3.0,Well done toast. Hints of cocoa powder.,3.0,2.0,2.0,"Muddy, one note roasted, lacking complexity.",2.0,3.0,4.0,"Fruit - berries, strawberries, hint of fermented funk.",Coffee A,Coffee A,Coffee A,60 a 80,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,More than 20,More than 20,No,Male,White/Caucasian
127,55 a 64,2,"['At home', ' At the office']","['French press', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Other']",Regular drip coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Very strong,Dark,Full caffeine,7.0,1.0,3.0,1.0,Sour tasting,3.0,2.0,3.0,"Very smooth tasting, best of the 4",2.0,2.0,2.0,,3.0,4.0,2.0,,Coffee B,Coffee D,Coffee B,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Male,White/Caucasian
128,25 a 34,Less than 1,['None of these'],,Blended drink (e.g. Frappuccino),"['Sugar or sweetener', ' Milk', ' dairy alternative', ' or coffee creamer', ' Flavor syrup']","['Whole milk', ' Half and half', ' Coffee creamer']",Sweet,Weak,Italian,Decaf,1.0,1.0,5.0,5.0,,3.0,4.0,4.0,,4.0,4.0,2.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee A,Less then 20,['Other'],No,No,More than 20,More than 20,No,Male,White/Caucasian
129,25 a 34,2,['At home'],"['Pour over', ' French press', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Instant coffee', ' Cold brew']",Mocha,"['No - just black', ' Sugar or sweetener']",,Bright,Somewhat strong,Medium,Full caffeine,5.0,3.0,4.0,1.0,red berry,1.0,1.0,4.0,soft smooth,3.0,2.0,3.0,chocolate,1.0,3.0,4.0,apple,Coffee B,Coffee D,Coffee B,20 a 40,['It tastes good'],Yes,Yes,6 a 8,6 a 8,No,Non-binary,White/Caucasian
130,35 a 44,More than 4,['On the go'],,Iced coffee,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Nutty,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,Dates and Candy. Pizza.,2.0,1.0,4.0,"solid, chocolatey",3.0,3.0,3.0,"good, but not terribly interesting.",1.0,4.0,5.0,"love this coffee, but someone had it right in the chat-- the friend you love seeing at a party but would hate to be your roommate. Drinking a cup of this black on a cool day would be novel and wonderful, but this will never be a daily driver.",Coffee B,Coffee A,Coffee A,More then 100,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,More than 20,10 a 15,Yes,Male,White/Caucasian
131,45 a 54,3,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Espresso,['No - just black'],,Bright,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,4.0,Fruit,4.0,3.0,3.0,,3.0,3.0,4.0,Plum red fruit,3.0,5.0,2.0,,Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,10 a 15,Yes,Male,White/Caucasian
132,35 a 44,2,"['At home', ' At the office']","['Pour over', ' Espresso', ' Cold brew']",Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,3.0,"Pear, a thick mouthfeel.",3.0,1.0,2.0,Chocolate,4.0,2.0,4.0,Toasted nuts or crackers,1.0,5.0,5.0,"Berries, berries, berries",Coffee C,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,4 a 6,Yes,Male,White/Caucasian
